Genes,Description,Enrichment,pValue
TIPRL,TIP41-like protein OS=Homo sapiens GN=TIPRL PE=1 SV=2,0,0.024010002
LAR4B,La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3,0,0.029281419
AGK,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",0,0.029941981
PATL1,Protein PAT1 homolog 1 OS=Homo sapiens GN=PATL1 PE=1 SV=2,0,0.045934108
COPG2,Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1,0,0.032161463
HAUS2,HAUS augmin-like complex subunit 2 OS=Homo sapiens GN=HAUS2 PE=1 SV=1,0,0.078394832
MCRI1,Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens GN=MCRIP1 PE=1 SV=1,0,0.027278938
RC3H1,Roquin-1 OS=Homo sapiens GN=RC3H1 PE=1 SV=1,0,0.034912813
ODPB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3",0,0.027628627
DYLT1,Dynein light chain Tctex-type 1 OS=Homo sapiens GN=DYNLT1 PE=1 SV=1,0,0.073882776
CDC20,Cell division cycle protein 20 homolog OS=Homo sapiens GN=CDC20 PE=1 SV=2,0,0.033326675
EST1A,Telomerase-binding protein EST1A OS=Homo sapiens GN=SMG6 PE=1 SV=2,0,0.044441091
QTRT2,Queuine tRNA-ribosyltransferase accessory subunit 2 OS=Homo sapiens GN=QTRT2 PE=1 SV=1,0,0.031881719
ABC3C,DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens GN=APOBEC3C PE=1 SV=2,0,0.036633945
KLC2,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1,0,0.035626827
MCRI2,MAPK regulated corepressor interacting protein 2 OS=Homo sapiens GN=MCRIP2 PE=1 SV=2,0,0.025085936
SNX30,Sorting nexin-30 OS=Homo sapiens GN=SNX30 PE=1 SV=1,0,0.031655772
LS14B,Protein LSM14 homolog B OS=Homo sapiens GN=LSM14B PE=1 SV=1,0,0.027063803
TUT4,Terminal uridylyltransferase 4 OS=Homo sapiens GN=ZCCHC11 PE=1 SV=3,0,0.038491206
DHX40,Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40 PE=1 SV=2,0,0.024010008
PAN2,PAN2-PAN3 deadenylation complex catalytic subunit PAN2 OS=Homo sapiens GN=PAN2 PE=1 SV=3,0,0.032289811
ARF,Tumor suppressor ARF OS=Homo sapiens GN=CDKN2A PE=1 SV=2,0,0.031989392
RB6I2,ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1,0,0.071749988
PCID2,PCI domain-containing protein 2 OS=Homo sapiens GN=PCID2 PE=1 SV=2,0,0.038708328
KCC2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens GN=CAMK2G PE=1 SV=3,0,0.029133391
KIF7,Kinesin-like protein KIF7 OS=Homo sapiens GN=KIF7 PE=1 SV=2,0,0.02401
OFD1,Oral-facial-digital syndrome 1 protein OS=Homo sapiens GN=OFD1 PE=1 SV=1,0,0.04290405
CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1,0,0.026121732
HYOU1,Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1,0,0.071134911
K1C17,"Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2",0,0.112839959
CNBP,Cellular nucleic acid-binding protein OS=Homo sapiens GN=CNBP PE=1 SV=1,0,0.029918257
TBA1A,Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1,0,0.0443631
1433B,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,0,0.044384079
GSH0,Glutamate--cysteine ligase regulatory subunit OS=Homo sapiens GN=GCLM PE=1 SV=1,0,0.027893577
NUB1,NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2,0,0.031992338
AGO3,Protein argonaute-3 OS=Homo sapiens GN=AGO3 PE=1 SV=2,0,0.032056517
IPO5,Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,0,0.188996635
NSA2,Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1,0,0.133978397
GSK3B,Glycogen synthase kinase-3 beta OS=Homo sapiens GN=GSK3B PE=1 SV=2,0,0.140450771
BZW1,Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1,0,0.188214151
PAPD1,"Poly(A) RNA polymerase, mitochondrial OS=Homo sapiens GN=MTPAP PE=1 SV=1",0,0.162542634
WASL,Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WASL PE=1 SV=2,0,0.16827638
RL38,60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2,0,0.148620434
INT7,Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1,0,0.133978401
MP2K1,Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1 PE=1 SV=2,0,0.146661983
RS15,40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2,0,0.137839077
CNOT8,CCR4-NOT transcription complex subunit 8 OS=Homo sapiens GN=CNOT8 PE=1 SV=1,0,0.188828558
PJA2,E3 ubiquitin-protein ligase Praja-2 OS=Homo sapiens GN=PJA2 PE=1 SV=4,0,0.140172057
NDC80,Kinetochore protein NDC80 homolog OS=Homo sapiens GN=NDC80 PE=1 SV=1,0,0.150896708
GTSE1,G2 and S phase-expressed protein 1 OS=Homo sapiens GN=GTSE1 PE=1 SV=3,0,0.140173885
ROAA,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2,0,0.137839208
ARF5,ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2,0,0.13397841
EI2BA,Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens GN=EIF2B1 PE=1 SV=1,0,0.136871486
LAR1B,La-related protein 1B OS=Homo sapiens GN=LARP1B PE=1 SV=2,0,0.14625137
HERC1,Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens GN=HERC1 PE=1 SV=2,0,0.153096008
QCR1,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3",0,0.133974622
FBX7,F-box only protein 7 OS=Homo sapiens GN=FBXO7 PE=1 SV=1,0,0.16883069
NDUS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=3",0,0.146252642
F16B1,Protein FAM160B1 OS=Homo sapiens GN=FAM160B1 PE=1 SV=1,0,0.133974621
YBOX3,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,0,0.133978452
RC3H2,Roquin-2 OS=Homo sapiens GN=RC3H2 PE=1 SV=2,0,0.188998754
MCA3,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1,0,0.147012415
RM16,"39S ribosomal protein L16, mitochondrial OS=Homo sapiens GN=MRPL16 PE=1 SV=1",0,0.167627714
HAUS1,HAUS augmin-like complex subunit 1 OS=Homo sapiens GN=HAUS1 PE=1 SV=1,0,0.175467048
CP062,UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=1 SV=2,0,0.140173975
ORNT1,Mitochondrial ornithine transporter 1 OS=Homo sapiens GN=SLC25A15 PE=1 SV=1,0,0.137603477
RS18,40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3,0,0.16197173
TNG6,Transport and Golgi organization protein 6 homolog OS=Homo sapiens GN=TANGO6 PE=1 SV=2,0,0.137604308
CC138,Coiled-coil domain-containing protein 138 OS=Homo sapiens GN=CCDC138 PE=1 SV=1,0,0.136889661
RL26L,60S ribosomal protein L26-like 1 OS=Homo sapiens GN=RPL26L1 PE=1 SV=1,0,0.133978422
PDIA6,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1,0,0.137604047
PSA,Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2,0,0.136683833
TT30B,Tetratricopeptide repeat protein 30B OS=Homo sapiens GN=TTC30B PE=1 SV=2,0,0.137622344
FACE2,CAAX prenyl protease 2 OS=Homo sapiens GN=RCE1 PE=1 SV=1,0,0.147012051
ACTS,"Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1",0,0.355917684
SPICE,Spindle and centriole-associated protein 1 OS=Homo sapiens GN=SPICE1 PE=1 SV=1,0,0.355917684
KIF1A,Kinesin-like protein KIF1A OS=Homo sapiens GN=KIF1A PE=1 SV=2,0,0.355917684
RBMS1,"RNA-binding motif, single-stranded-interacting protein 1 OS=Homo sapiens GN=RBMS1 PE=1 SV=3",0,0.355917684
PEX5,Peroxisomal targeting signal 1 receptor OS=Homo sapiens GN=PEX5 PE=1 SV=3,0,0.355917684
BPL1,Biotin--protein ligase OS=Homo sapiens GN=HLCS PE=1 SV=1,0,0.355917684
RAB1B,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,0,0.355917684
DNJB6,DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2,0,0.355917684
AGO1,Protein argonaute-1 OS=Homo sapiens GN=AGO1 PE=1 SV=3,0,0.355917684
SRP14,Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2,0,0.355917684
ALG13,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 OS=Homo sapiens GN=ALG13 PE=1 SV=2,0,0.355917684
DHC24,Delta(24)-sterol reductase OS=Homo sapiens GN=DHCR24 PE=1 SV=2,0,0.355917684
TBA1C,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,0,0.355917684
CEP78,Centrosomal protein of 78 kDa OS=Homo sapiens GN=CEP78 PE=1 SV=1,0,0.355917684
TM9S3,Transmembrane 9 superfamily member 3 OS=Homo sapiens GN=TM9SF3 PE=1 SV=2,0,0.355917684
GEN,Flap endonuclease GEN homolog 1 OS=Homo sapiens GN=GEN1 PE=1 SV=2,0,0.355917684
MARK2,Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=1 SV=2,0,0.355917684
SI1L1,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=1 SV=4,0,0.355917684
UB2D2,Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1,0,0.355917684
UB2D3,Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1,0,0.355917684
UBP24,Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens GN=USP24 PE=1 SV=3,0,0.355917684
TSN,Translin OS=Homo sapiens GN=TSN PE=1 SV=1,0,0.355917684
RENT2,Regulator of nonsense transcripts 2 OS=Homo sapiens GN=UPF2 PE=1 SV=1,0,0.355917684
SIK2,Serine/threonine-protein kinase SIK2 OS=Homo sapiens GN=SIK2 PE=1 SV=1,0,0.355917684
PRDX4,Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1,0,0.355917684
SYLM,"Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens GN=LARS2 PE=1 SV=2",0,0.355917684
NUPL2,Nucleoporin-like protein 2 OS=Homo sapiens GN=NUPL2 PE=1 SV=1,0,0.355917684
ALBU,Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,0,0.355917684
TMED9,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2,0,0.355917684
RS12,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3,0,0.355917684
HNRH2,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,0,0.355917684
APC7,Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 PE=1 SV=4,0,0.355917684
RBM8A,RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1,0,0.355917684
CK5P2,CDK5 regulatory subunit-associated protein 2 OS=Homo sapiens GN=CDK5RAP2 PE=1 SV=5,0,0.355917684
OSBP1,Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1,0,0.355917684
PIGT,GPI transamidase component PIG-T OS=Homo sapiens GN=PIGT PE=1 SV=1,0,0.355917684
TNPO2,Transportin-2 OS=Homo sapiens GN=TNPO2 PE=1 SV=3,0,0.355917684
KRT83,"Keratin, type II cuticular Hb3 OS=Homo sapiens GN=KRT83 PE=1 SV=2",0,0.355917684
ODPA,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3",0,0.355917684
GCP2,Gamma-tubulin complex component 2 OS=Homo sapiens GN=TUBGCP2 PE=1 SV=2,0,0.355917684
MYH1,Myosin-1 OS=Homo sapiens GN=MYH1 PE=1 SV=3,0,0.355917684
NAA40,N-alpha-acetyltransferase 40 OS=Homo sapiens GN=NAA40 PE=1 SV=1,0,0.355917684
LATS1,Serine/threonine-protein kinase LATS1 OS=Homo sapiens GN=LATS1 PE=1 SV=1,0,0.355917684
PAK4,Serine/threonine-protein kinase PAK 4 OS=Homo sapiens GN=PAK4 PE=1 SV=1,0,0.355917684
ATPK,"ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3",0,0.355917684
AKP13,A-kinase anchor protein 13 OS=Homo sapiens GN=AKAP13 PE=1 SV=2,0,0.355917684
IQGA1,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,0,0.355917684
GTPB6,Putative GTP-binding protein 6 OS=Homo sapiens GN=GTPBP6 PE=2 SV=3,0,0.355917684
ERD21,ER lumen protein-retaining receptor 1 OS=Homo sapiens GN=KDELR1 PE=1 SV=1,0,0.355917684
UH1BL,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,0,0.355917684
K1H1,"Keratin, type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=1 SV=3",0,0.355917684
TF2H2,General transcription factor IIH subunit 2 OS=Homo sapiens GN=GTF2H2 PE=1 SV=1,0,0.355917684
SCAM3,Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3,0,0.355917684
MRPP3,Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens GN=KIAA0391 PE=1 SV=2,0,0.355917684
RM37,"39S ribosomal protein L37, mitochondrial OS=Homo sapiens GN=MRPL37 PE=1 SV=2",0,0.355917684
PDLI7,PDZ and LIM domain protein 7 OS=Homo sapiens GN=PDLIM7 PE=1 SV=1,0,0.355917684
RRAGD,Ras-related GTP-binding protein D OS=Homo sapiens GN=RRAGD PE=1 SV=1,0,0.355917684
WDR91,WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2,0,0.355917684
TCPH,T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,0,0.355917684
HSPB1,Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2,0,0.355917684
HASP,Serine/threonine-protein kinase haspin OS=Homo sapiens GN=HASPIN PE=1 SV=3,0,0.355917684
USP9X,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens GN=USP9X PE=1 SV=3,0,0.355917684
ACON,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2",0,0.355917684
BI2L1,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2,0,0.355917684
ELP5,Elongator complex protein 5 OS=Homo sapiens GN=ELP5 PE=1 SV=2,0,0.355917684
CIP2A,Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2,0,0.355917684
PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens GN=PRKRA PE=1 SV=1,0,0.355917684
VAPA,Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3,0,0.355917684
VP26A,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2,0,0.355917684
UBP53,Inactive ubiquitin carboxyl-terminal hydrolase 53 OS=Homo sapiens GN=USP53 PE=1 SV=2,0,0.355917684
SI1L2,Signal-induced proliferation-associated 1-like protein 2 OS=Homo sapiens GN=SIPA1L2 PE=1 SV=2,0,0.355917684
TTC27,Tetratricopeptide repeat protein 27 OS=Homo sapiens GN=TTC27 PE=1 SV=1,0,0.355917684
VPS16,Vacuolar protein sorting-associated protein 16 homolog OS=Homo sapiens GN=VPS16 PE=1 SV=2,0,0.355917684
SELB,Selenocysteine-specific elongation factor OS=Homo sapiens GN=EEFSEC PE=1 SV=4,0,0.355917684
WNK3,Serine/threonine-protein kinase WNK3 OS=Homo sapiens GN=WNK3 PE=1 SV=3,0,0.355917684
IKKA,Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens GN=CHUK PE=1 SV=2,0,0.355917684
FA83D,Protein FAM83D OS=Homo sapiens GN=FAM83D PE=1 SV=3,0,0.355917684
ZN622,Zinc finger protein 622 OS=Homo sapiens GN=ZNF622 PE=1 SV=1,0,0.355917684
AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2,0,0.355917684
WDR62,WD repeat-containing protein 62 OS=Homo sapiens GN=WDR62 PE=1 SV=4,0,0.355917684
TNPO1,Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2,0,0.355917684
TGO1,Transport and Golgi organization protein 1 homolog OS=Homo sapiens GN=MIA3 PE=1 SV=1,0,0.355917684
ERD22,ER lumen protein-retaining receptor 2 OS=Homo sapiens GN=KDELR2 PE=1 SV=1,0,0.355917684
AINX,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2,0,0.355917684
SPS2L,SPATS2-like protein OS=Homo sapiens GN=SPATS2L PE=1 SV=2,0,0.355917684
CDC45,Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45 PE=1 SV=1,0,0.355917684
COT1,COUP transcription factor 1 OS=Homo sapiens GN=NR2F1 PE=1 SV=1,0,0.355917684
HIP1R,Huntingtin-interacting protein 1-related protein OS=Homo sapiens GN=HIP1R PE=1 SV=2,0,0.355917684
RSSA,40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4,0,0.355917684
GEMI2,Gem-associated protein 2 OS=Homo sapiens GN=GEMIN2 PE=1 SV=1,0,0.355917684
NEMO,NF-kappa-B essential modulator OS=Homo sapiens GN=IKBKG PE=1 SV=2,0,0.355917684
DRS7B,Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens GN=DHRS7B PE=1 SV=2,0,0.355917684
CLAP1,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1,0,0.355917684
CSPP1,Centrosome and spindle pole-associated protein 1 OS=Homo sapiens GN=CSPP1 PE=1 SV=4,0,0.355917684
TPPP3,Tubulin polymerization-promoting protein family member 3 OS=Homo sapiens GN=TPPP3 PE=1 SV=1,0,0.355917684
PI51A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens GN=PIP5K1A PE=1 SV=1,0,0.355917684
TMED2,Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1,0,0.355917684
KRT82,"Keratin, type II cuticular Hb2 OS=Homo sapiens GN=KRT82 PE=1 SV=3",0,0.355917684
S10A7,Protein S100-A7 OS=Homo sapiens GN=S100A7 PE=1 SV=4,0,0.355917684
LEG7,Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2,0,0.355917684
KRT85,"Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1",0,0.355917684
PLPL6,Neuropathy target esterase OS=Homo sapiens GN=PNPLA6 PE=1 SV=2,0,0.355917684
MCCA,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=3",5.169550605,3.80E-05
ACACA,Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2,4.580140669,0.000115372
PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=4",7.108263003,0.00045685
KIF1C,Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3,660.7088761,2.01E-07
PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=PCCB PE=1 SV=3",8.060131259,0.000543709
1433E,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,5.535875603,2.03E-05
GCN1,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens GN=GCN1 PE=1 SV=6,4.357624977,4.56E-05
RENT1,Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,5.013657281,2.25E-05
HOOK1,Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1 PE=1 SV=2,16.39089969,0.000970169
STAU2,Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens GN=STAU2 PE=1 SV=1,5.053162904,3.55E-05
DDX3X,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,4.580112772,7.99E-06
IPO9,Importin-9 OS=Homo sapiens GN=IPO9 PE=1 SV=3,4.594867694,0.001213086
PYR1,CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3,4.491827797,3.69E-05
YTHD2,YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2,9.325522205,9.07E-05
IF4A3,Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4,5.992469457,0.000486946
TOP3B,DNA topoisomerase 3-beta-1 OS=Homo sapiens GN=TOP3B PE=1 SV=1,17.12005521,0.000251612
ANR52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens GN=ANKRD52 PE=1 SV=3,4.503468688,0.000172003
F16A1,Protein FAM160A1 OS=Homo sapiens GN=FAM160A1 PE=2 SV=2,7.181618147,0.002429418
F120A,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2,5.50081052,0.000207578
PYGL,"Glycogen phosphorylase, liver form OS=Homo sapiens GN=PYGL PE=1 SV=4",4.135206977,0.008243338
YTHD1,YTH domain-containing family protein 1 OS=Homo sapiens GN=YTHDF1 PE=1 SV=1,5.880310073,0.001125812
REN3B,Regulator of nonsense transcripts 3B OS=Homo sapiens GN=UPF3B PE=1 SV=1,4.64011059,0.005705925
PP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Homo sapiens GN=PPP6R2 PE=1 SV=2,4.292418827,0.001245265
